census_geoid,geography_type,state_fips,county_fips,place_fips,geography_name,acs_vintage,median_household_income,total_population,source_id
0500000US06009,county,06,009,,"Calaveras County, California",2024,78647,46248,acs5_2024_county_income
0500000US06011,county,06,011,,"Colusa County, California",2024,75672,21984,acs5_2024_county_income
0500000US06013,county,06,013,,"Contra Costa County, California",2024,127229,1165012,acs5_2024_county_income
0500000US06015,county,06,015,,"Del Norte County, California",2024,67058,27107,acs5_2024_county_income
0500000US06017,county,06,017,,"El Dorado County, California",2024,108845,192662,acs5_2024_county_income
0500000US06019,county,06,019,,"Fresno County, California",2024,74201,1016725,acs5_2024_county_income
0500000US06021,county,06,021,,"Glenn County, California",2024,67139,28494,acs5_2024_county_income
0500000US06023,county,06,023,,"Humboldt County, California",2024,61160,134541,acs5_2024_county_income
0500000US06025,county,06,025,,"Imperial County, California",2024,57681,180202,acs5_2024_county_income
0500000US06027,county,06,027,,"Inyo County, California",2024,73991,18739,acs5_2024_county_income
0500000US06029,county,06,029,,"Kern County, California",2024,70210,915075,acs5_2024_county_income
0500000US06031,county,06,031,,"Kings County, California",2024,70995,153298,acs5_2024_county_income
0500000US06033,county,06,033,,"Lake County, California",2024,60621,68152,acs5_2024_county_income
0500000US06035,county,06,035,,"Lassen County, California",2024,67403,30356,acs5_2024_county_income
0500000US06037,county,06,037,,"Los Angeles County, California",2024,90112,9808667,acs5_2024_county_income
0500000US06039,county,06,039,,"Madera County, California",2024,76627,160940,acs5_2024_county_income
0500000US06041,county,06,041,,"Marin County, California",2024,149091,257969,acs5_2024_county_income
0500000US06043,county,06,043,,"Mariposa County, California",2024,68412,17082,acs5_2024_county_income
0500000US06045,county,06,045,,"Mendocino County, California",2024,68092,90244,acs5_2024_county_income
0500000US06047,county,06,047,,"Merced County, California",2024,65510,290201,acs5_2024_county_income
0500000US06049,county,06,049,,"Modoc County, California",2024,59455,8600,acs5_2024_county_income
0500000US06051,county,06,051,,"Mono County, California",2024,99415,13148,acs5_2024_county_income
0500000US06053,county,06,053,,"Monterey County, California",2024,97230,437613,acs5_2024_county_income
0500000US06055,county,06,055,,"Napa County, California",2024,111471,134869,acs5_2024_county_income
0500000US06057,county,06,057,,"Nevada County, California",2024,89882,102481,acs5_2024_county_income
0500000US06059,county,06,059,,"Orange County, California",2024,116289,3165820,acs5_2024_county_income
0500000US06061,county,06,061,,"Placer County, California",2024,115998,419156,acs5_2024_county_income
0500000US06063,county,06,063,,"Plumas County, California",2024,66031,19423,acs5_2024_county_income
0500000US06065,county,06,065,,"Riverside County, California",2024,93074,2478600,acs5_2024_county_income
0500000US06067,county,06,067,,"Sacramento County, California",2024,92175,1594006,acs5_2024_county_income
0500000US06069,county,06,069,,"San Benito County, California",2024,114394,67290,acs5_2024_county_income
0500000US06071,county,06,071,,"San Bernardino County, California",2024,85478,2197104,acs5_2024_county_income
0500000US06073,county,06,073,,"San Diego County, California",2024,106268,3288774,acs5_2024_county_income
0500000US06075,county,06,075,,"San Francisco County, California",2024,140970,830235,acs5_2024_county_income
0500000US06077,county,06,077,,"San Joaquin County, California",2024,92179,797334,acs5_2024_county_income
0500000US06079,county,06,079,,"San Luis Obispo County, California",2024,97446,281555,acs5_2024_county_income
0500000US06081,county,06,081,,"San Mateo County, California",2024,158855,742340,acs5_2024_county_income
0500000US06083,county,06,083,,"Santa Barbara County, California",2024,98161,443701,acs5_2024_county_income
0500000US06085,county,06,085,,"Santa Clara County, California",2024,164281,1902047,acs5_2024_county_income
0500000US06087,county,06,087,,"Santa Cruz County, California",2024,111093,264926,acs5_2024_county_income
0500000US06089,county,06,089,,"Shasta County, California",2024,72636,181436,acs5_2024_county_income
0500000US06091,county,06,091,,"Sierra County, California",2024,63355,2746,acs5_2024_county_income
0500000US06093,county,06,093,,"Siskiyou County, California",2024,59095,43466,acs5_2024_county_income
0500000US06095,county,06,095,,"Solano County, California",2024,100401,451918,acs5_2024_county_income
0500000US06097,county,06,097,,"Sonoma County, California",2024,104674,485040,acs5_2024_county_income
0500000US06099,county,06,099,,"Stanislaus County, California",2024,81468,553990,acs5_2024_county_income
0500000US06101,county,06,101,,"Sutter County, California",2024,79704,98857,acs5_2024_county_income
0500000US06103,county,06,103,,"Tehama County, California",2024,63784,65167,acs5_2024_county_income
0500000US06105,county,06,105,,"Trinity County, California",2024,53002,15860,acs5_2024_county_income
0500000US06107,county,06,107,,"Tulare County, California",2024,71300,478693,acs5_2024_county_income
0500000US06109,county,06,109,,"Tuolumne County, California",2024,77404,54498,acs5_2024_county_income
0500000US06111,county,06,111,,"Ventura County, California",2024,109797,837469,acs5_2024_county_income
0500000US06113,county,06,113,,"Yolo County, California",2024,91752,220564,acs5_2024_county_income
0500000US06115,county,06,115,,"Yuba County, California",2024,76373,84507,acs5_2024_county_income
0500000US08001,county,08,001,,"Adams County, Colorado",2024,94571,530225,acs5_2024_county_income
0500000US08003,county,08,003,,"Alamosa County, Colorado",2024,55397,16581,acs5_2024_county_income
0500000US08005,county,08,005,,"Arapahoe County, Colorado",2024,101087,659844,acs5_2024_county_income
0500000US08007,county,08,007,,"Archuleta County, Colorado",2024,83065,13900,acs5_2024_county_income
0500000US08009,county,08,009,,"Baca County, Colorado",2024,46215,3428,acs5_2024_county_income
0500000US08011,county,08,011,,"Bent County, Colorado",2024,50179,5549,acs5_2024_county_income
0500000US08013,county,08,013,,"Boulder County, Colorado",2024,103994,328961,acs5_2024_county_income
0500000US08014,county,08,014,,"Broomfield County, Colorado",2024,123874,76304,acs5_2024_county_income
0500000US08015,county,08,015,,"Chaffee County, Colorado",2024,84132,20178,acs5_2024_county_income
0500000US08017,county,08,017,,"Cheyenne County, Colorado",2024,70865,1741,acs5_2024_county_income
