census_geoid,geography_type,state_fips,place_fips,geography_name,acs_vintage,total_population,white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_or_latino_pct,foreign_born_pct,under_18_pct,source_id
1600000US2715994,place,27,15994,"Dodge Center city, Minnesota",2024,2880,90.694,0.0,1.632,8.472,3.194,21.076,acs5_2024_place_demographics
1600000US2716030,place,27,16030,"Donaldson city, Minnesota",2024,5,100.0,0.0,0.0,0.0,0.0,0.0,acs5_2024_place_demographics
1600000US2716084,place,27,16084,"Donnelly city, Minnesota",2024,277,98.917,0.0,0.0,0.0,0.0,29.603,acs5_2024_place_demographics
1600000US2716156,place,27,16156,"Doran city, Minnesota",2024,12,100.0,0.0,0.0,0.0,0.0,16.667,acs5_2024_place_demographics
1600000US2716264,place,27,16264,"Dover city, Minnesota",2024,895,85.028,0.0,0.559,11.285,3.352,39.888,acs5_2024_place_demographics
1600000US2716300,place,27,16300,"Dovray city, Minnesota",2024,41,100.0,0.0,0.0,0.0,0.0,4.878,acs5_2024_place_demographics
1600000US2716390,place,27,16390,"Dresbach CDP, Minnesota",2024,286,98.601,0.0,0.35,0.699,0.699,8.042,acs5_2024_place_demographics
1600000US2717000,place,27,17000,"Duluth city, Minnesota",2024,87093,87.417,2.767,1.738,2.595,3.109,17.562,acs5_2024_place_demographics
1600000US2717090,place,27,17090,"Dumont city, Minnesota",2024,140,90.0,0.0,0.0,0.0,2.143,32.143,acs5_2024_place_demographics
1600000US2717126,place,27,17126,"Dundas city, Minnesota",2024,1916,83.142,1.67,1.931,5.01,2.401,31.002,acs5_2024_place_demographics
1600000US2717144,place,27,17144,"Dundee city, Minnesota",2024,79,100.0,0.0,0.0,0.0,0.0,18.987,acs5_2024_place_demographics
1600000US2717180,place,27,17180,"Dunnell city, Minnesota",2024,177,99.435,0.0,0.0,0.0,1.13,5.085,acs5_2024_place_demographics
1600000US2717288,place,27,17288,"Eagan city, Minnesota",2024,68000,70.181,11.524,8.454,7.318,14.95,22.26,acs5_2024_place_demographics
1600000US2717342,place,27,17342,"Eagle Bend city, Minnesota",2024,597,62.982,0.0,0.0,9.548,0.335,35.008,acs5_2024_place_demographics
1600000US2717378,place,27,17378,"Eagle Lake city, Minnesota",2024,3281,82.841,1.219,0.853,7.223,3.17,31.18,acs5_2024_place_demographics
1600000US2717486,place,27,17486,"East Bethel city, Minnesota",2024,12115,91.399,0.206,1.659,4.853,4.045,21.89,acs5_2024_place_demographics
1600000US2717612,place,27,17612,"East Grand Forks city, Minnesota",2024,9028,78.733,3.833,0.089,10.39,2.437,28.334,acs5_2024_place_demographics
