census_geoid,geography_name,state_fips,place_fips,nces_school_count,nces_district_count,match_method,confidence,validation_status,notes
1600000US2632320,"Gladwin city, Michigan",26,32320,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2632640,"Gobles city, Michigan",26,32640,4,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2632980,"Goodrich village, Michigan",26,32980,4,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2633280,"Grand Blanc city, Michigan",26,33280,15,3,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2633340,"Grand Haven city, Michigan",26,33340,12,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2633420,"Grand Ledge city, Michigan",26,33420,8,3,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2633440,"Grand Marais CDP, Michigan",26,33440,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2634000,"Grand Rapids city, Michigan",26,34000,134,28,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2634160,"Grandville city, Michigan",26,34160,7,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2634360,"Grant city, Michigan",26,34360,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2634480,"Grass Lake village, Michigan",26,34480,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2634640,"Grayling city, Michigan",26,34640,5,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2635100,"Greenville city, Michigan",26,35100,9,3,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2635480,"Grosse Pointe city, Michigan",26,35480,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2635520,"Grosse Pointe Farms city, Michigan",26,35520,4,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2635540,"Grosse Pointe Park city, Michigan",26,35540,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2635580,"Grosse Pointe Woods city, Michigan",26,35580,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2635760,"Gwinn CDP, Michigan",26,35760,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636280,"Hamtramck city, Michigan",26,36280,15,7,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636300,"Hancock city, Michigan",26,36300,4,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636380,"Hanover village, Michigan",26,36380,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636460,"Harbor Beach city, Michigan",26,36460,4,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636560,"Harbor Springs city, Michigan",26,36560,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636700,"Harper Woods city, Michigan",26,36700,11,3,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636800,"Harrison city, Michigan",26,36800,11,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636860,"Harrisville city, Michigan",26,36860,2,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636920,"Hart city, Michigan",26,36920,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2636960,"Hartford city, Michigan",26,36960,4,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637020,"Hartland CDP, Michigan",26,37020,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637100,"Haslett CDP, Michigan",26,37100,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637120,"Hastings city, Michigan",26,37120,7,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637420,"Hazel Park city, Michigan",26,37420,9,2,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637600,"Hemlock CDP, Michigan",26,37600,5,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637760,"Hermansville CDP, Michigan",26,37760,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637820,"Hersey village, Michigan",26,37820,1,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
1600000US2637860,"Hesperia village, Michigan",26,37860,3,1,nces_school_city_to_census_place_name,low,candidate_only,Mailing-city name match; not a geographic attendance-boundary join.
