District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
820,Sullivan County,English Learners,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
820,Sullivan County,Students with Disabilities,63,98,12.3,14.7,13.6,14.7,14,3,4.8,58,92.1
821,Bristol,All Students,325,100,20.3,19.2,21.1,20.3,20.4,146,44.9,138,42.5
821,Bristol,Black/Hispanic/Native American,29,100,18,18.4,19,18.3,18.5,8,27.6,19,65.5
821,Bristol,Economically Disadvantaged,78,100,16.5,16.4,17.6,17.6,17.1,14,17.9,49,62.8
821,Bristol,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
821,Bristol,Students with Disabilities,18,100,14.7,15.4,14.9,16.9,15.6,2,11.1,16,88.9
822,Kingsport,All Students,547,99,20,21.3,21.3,20.6,21,269,49.2,227,41.5
822,Kingsport,Black/Hispanic/Native American,100,99,17.5,18.9,19,18.4,18.6,37,37,55,55
822,Kingsport,Economically Disadvantaged,179,98,15.9,17.7,17.6,17.3,17.3,43,24,119,66.5
822,Kingsport,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
822,Kingsport,Students with Disabilities,80,96,13.3,15.2,14.8,15.2,14.8,6,7.5,72,90
830,Sumner County,All Students,2187,100,20.4,20.1,21.3,20.6,20.8,1076,49.2,865,39.6
830,Sumner County,Black/Hispanic/Native American,573,100,16.7,17.5,18.2,18,17.7,140,24.4,373,65.1
830,Sumner County,Economically Disadvantaged,469,100,17,17.3,18.1,18,17.7,126,26.9,300,64
830,Sumner County,English Learners,99,99,13.6,15.6,14.5,15.9,15,6,6.1,88,88.9
830,Sumner County,Students with Disabilities,222,100,15,15.9,16.5,16.8,16.2,33,14.9,179,80.6
840,Tipton County,All Students,704,99,19.4,19.1,20,19.7,19.7,291,41.3,321,45.6
840,Tipton County,Black/Hispanic/Native American,222,100,16.8,17,17.5,17.8,17.4,46,20.7,142,64
840,Tipton County,Economically Disadvantaged,235,99,16.8,17.1,17.8,17.9,17.5,58,24.7,154,65.5
840,Tipton County,English Learners,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
840,Tipton County,Students with Disabilities,62,98,13.5,15,14.5,16.1,14.9,4,6.5,55,88.7
850,Trousdale County,All Students,91,100,19.5,19.7,20.4,19.5,19.9,41,45.1,41,45.1
850,Trousdale County,Black/Hispanic/Native American,25,100,18.7,18.6,20.1,18.4,19.2,11,44,11,44
850,Trousdale County,Economically Disadvantaged,26,100,17,16.6,17.8,17.1,17.2,5,19.2,17,65.4
850,Trousdale County,Students with Disabilities,11,100,14.3,15.1,15.5,14.8,15.1,1,9.1,10,90.9
860,Unicoi County,All Students,150,96,17.8,18.2,19.4,18.6,18.6,48,32,82,54.7
860,Unicoi County,Black/Hispanic/Native American,22,96,16.6,18.9,18.4,19,18.3,7,31.8,12,54.5
860,Unicoi County,Economically Disadvantaged,54,96,15.6,16.3,17.3,17.3,16.7,8,14.8,42,77.8
860,Unicoi County,English Learners,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
860,Unicoi County,Students with Disabilities,21,100,13.7,14.7,14.8,14.7,14.6,1,4.8,18,85.7
870,Union County,All Students,160,98,16,17,17.7,17.4,17.2,40,25,107,66.9
870,Union County,Black/Hispanic/Native American,8,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
870,Union County,Economically Disadvantaged,56,95,14.2,15.9,15.9,16.3,15.7,9,16.1,45,80.4
