#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"ACT","Highest","2024-25","611","Bibb County","0286","Northeast High School","All Students","English","1380130.","12389","38","TFS","18.4","20.7","16.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0286","Northeast High School","All Students","Mathematics","1380130.","12389","38","TFS","18.9","20.7","17.5","TFS"
"ACT","Highest","2024-25","611","Bibb County","0286","Northeast High School","All Students","Reading","1380130.","12389","38","TFS","20","22.7","19.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0386","Southwest High School","All Students","Composite","1380130.","12390","38","TFS","19.4","21.5","17.9","TFS"
"ACT","Highest","2024-25","611","Bibb County","0386","Southwest High School","All Students","English","1380130.","12389","38","TFS","18.4","20.7","16.2","TFS"
"ACT","Highest","2024-25","611","Bibb County","0386","Southwest High School","All Students","Mathematics","1380130.","12389","38","TFS","18.9","20.7","17.5","TFS"
"ACT","Highest","2024-25","611","Bibb County","0386","Southwest High School","All Students","Reading","1380130.","12389","38","TFS","20","22.7","19.2","TFS"
"ACT","Highest","2024-25","612","Bleckley County","0105","Bleckley County High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","612","Bleckley County","0105","Bleckley County High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","612","Bleckley County","0105","Bleckley County High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","612","Bleckley County","0105","Bleckley County High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","612","Bleckley County","0105","Bleckley County High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","612","Bleckley County","0105","Bleckley County High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","613","Brantley County","1050","Brantley County High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
"ACT","Highest","2024-25","613","Brantley County","1050","Brantley County High School","All Students","English","1380130.","12389","TFS","TFS","18.4","20.7","TFS","TFS"
"ACT","Highest","2024-25","613","Brantley County","1050","Brantley County High School","All Students","Mathematics","1380130.","12389","TFS","TFS","18.9","20.7","TFS","TFS"
"ACT","Highest","2024-25","613","Brantley County","1050","Brantley County High School","All Students","Reading","1380130.","12389","TFS","TFS","20","22.7","TFS","TFS"
"ACT","Highest","2024-25","613","Brantley County","1050","Brantley County High School","All Students","Science","1380130.","12190","TFS","TFS","19.6","21.6","TFS","TFS"
"ACT","Highest","2024-25","615","Bryan County","0182","Richmond Hill High School","All Students","Composite","1380130.","12390","49","45","19.4","21.5","20.5","20.3"
"ACT","Highest","2024-25","615","Bryan County","0182","Richmond Hill High School","All Students","English","1380130.","12389","49","45","18.4","20.7","18.9","18.5"
"ACT","Highest","2024-25","615","Bryan County","0182","Richmond Hill High School","All Students","Mathematics","1380130.","12389","49","45","18.9","20.7","19.9","19.5"
"ACT","Highest","2024-25","615","Bryan County","0182","Richmond Hill High School","All Students","Reading","1380130.","12389","49","45","20","22.7","22.1","22.1"
"ACT","Highest","2024-25","615","Bryan County","0182","Richmond Hill High School","All Students","Science","1380130.","12190","48","44","19.6","21.6","20.7","20.6"
"ACT","Highest","2024-25","615","Bryan County","0182","Richmond Hill High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","615","Bryan County","0502","Bryan County High School","All Students","Composite","1380130.","12390","49","TFS","19.4","21.5","20.5","TFS"
"ACT","Highest","2024-25","615","Bryan County","0502","Bryan County High School","All Students","English","1380130.","12389","49","TFS","18.4","20.7","18.9","TFS"
"ACT","Highest","2024-25","615","Bryan County","0502","Bryan County High School","All Students","Mathematics","1380130.","12389","49","TFS","18.9","20.7","19.9","TFS"
"ACT","Highest","2024-25","615","Bryan County","0502","Bryan County High School","All Students","Reading","1380130.","12389","49","TFS","20","22.7","22.1","TFS"
"ACT","Highest","2024-25","615","Bryan County","0502","Bryan County High School","All Students","Science","1380130.","12190","48","TFS","19.6","21.6","20.7","TFS"
"ACT","Highest","2024-25","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Composite","1380130.","12390","33","14","19.4","21.5","19.2","20.6"
"ACT","Highest","2024-25","616","Bulloch County","0203","Southeast Bulloch High School","All Students","English","1380130.","12389","33","14","18.4","20.7","17.6","19.1"
"ACT","Highest","2024-25","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Mathematics","1380130.","12389","33","14","18.9","20.7","18.6","19.9"
"ACT","Highest","2024-25","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Reading","1380130.","12389","33","14","20","22.7","20.3","22.1"
"ACT","Highest","2024-25","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Science","1380130.","12190","32","14","19.6","21.6","19.7","20.8"
"ACT","Highest","2024-25","616","Bulloch County","0203","Southeast Bulloch High School","All Students","Writing Subscore","1380130.","1711","TFS","TFS","6.1","6.7","TFS","TFS"
"ACT","Highest","2024-25","616","Bulloch County","2054","Statesboro High School","All Students","Composite","1380130.","12390","33","16","19.4","21.5","19.2","18.2"
"ACT","Highest","2024-25","616","Bulloch County","2054","Statesboro High School","All Students","English","1380130.","12389","33","16","18.4","20.7","17.6","17.1"
"ACT","Highest","2024-25","616","Bulloch County","2054","Statesboro High School","All Students","Mathematics","1380130.","12389","33","16","18.9","20.7","18.6","18"
"ACT","Highest","2024-25","616","Bulloch County","2054","Statesboro High School","All Students","Reading","1380130.","12389","33","16","20","22.7","20.3","19"
"ACT","Highest","2024-25","616","Bulloch County","2054","Statesboro High School","All Students","Science","1380130.","12190","32","15","19.6","21.6","19.7","18.6"
"ACT","Highest","2024-25","616","Bulloch County","4052","Portal Middle/High School","All Students","Composite","1380130.","12390","33","TFS","19.4","21.5","19.2","TFS"
"ACT","Highest","2024-25","616","Bulloch County","4052","Portal Middle/High School","All Students","English","1380130.","12389","33","TFS","18.4","20.7","17.6","TFS"
"ACT","Highest","2024-25","616","Bulloch County","4052","Portal Middle/High School","All Students","Mathematics","1380130.","12389","33","TFS","18.9","20.7","18.6","TFS"
"ACT","Highest","2024-25","616","Bulloch County","4052","Portal Middle/High School","All Students","Reading","1380130.","12389","33","TFS","20","22.7","20.3","TFS"
"ACT","Highest","2024-25","616","Bulloch County","4052","Portal Middle/High School","All Students","Science","1380130.","12190","32","TFS","19.6","21.6","19.7","TFS"
"ACT","Highest","2024-25","617","Burke County","0288","Burke County High School","All Students","Composite","1380130.","12390","TFS","TFS","19.4","21.5","TFS","TFS"
